tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_method_codes	magic_software_packages	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study		ET1_279BS	ET1_279B	ET1_279BS		ET1_279BS:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	pmagpy-2.206	134.1599461		g	4.504990858	2.419e-03	1	u	2.730e+02	0	0	0	0	2.930e+02
	This study		ET1_279BS	ET1_279B	ET1_279BS		ET1_279BS:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	pmagpy-2.206	135.7794863		g	3.577901927	2.083e-03	2	u	2.730e+02	0	0	0	0	4.230e+02
	This study		ET1_279BS	ET1_279B	ET1_279BS		ET1_279BS:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	pmagpy-2.206	135.5906572		g	-13.39381475	2.115e-03	3	u	2.730e+02	0	5.000e-05	0.0	90.0	4.230e+02
	This study		ET1_279BS	ET1_279B	ET1_279BS		ET1_279BS:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	pmagpy-2.206	135.9855445		g	2.301398992	1.893e-03	4	u	2.730e+02	0	0	0	0	4.730e+02
	This study		ET1_279BS	ET1_279B	ET1_279BS		ET1_279BS:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	pmagpy-2.206	135.2068431		g	-17.29822243	2.051e-03	5	u	2.730e+02	0	5.000e-05	0.0	90.0	4.730e+02
	This study		ET1_279BS	ET1_279B	ET1_279BS		ET1_279BS:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	LT-PTRM-MD:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	pmagpy-2.206	135.064305		g	-0.969944504	1.890e-03	6	u	2.730e+02	0	0	0.0	90.0	4.730e+02
	This study		ET1_279BS	ET1_279B	ET1_279BS		ET1_279BS:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	pmagpy-2.206	136.7357046		g	-12.38177828	1.912e-03	7	u	2.730e+02	0	5.000e-05	0.0	90.0	4.230e+02
	This study		ET1_279BS	ET1_279B	ET1_279BS		ET1_279BS:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	pmagpy-2.206	137.3897694		g	1.494070521	1.764e-03	8	u	2.730e+02	0	0	0	0	5.230e+02
	This study		ET1_279BS	ET1_279B	ET1_279BS		ET1_279BS:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	pmagpy-2.206	135.2319655		g	-25.41789279	1.934e-03	9	u	2.730e+02	0	5.000e-05	0.0	90.0	5.230e+02
	This study		ET1_279BS	ET1_279B	ET1_279BS		ET1_279BS:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	LT-PTRM-MD:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI	pmagpy-2.206	137.9236036		g	-1.532771887	1.720e-03	10	u	2.730e+02	0	0	0.0	90.0	5.230e+02
